DCOMIRIS,DEPCOM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,coords,geometry,Social_Housing,kmeans_class,centroids
751135101,75113,Paris 13e Arrondissement,5101,Maison Blanche 1,H,"[(653157.0, 6857882.0), (653160.0, 6857883.0), (653257.9, 6857922.0), (653352.0, 6857969.0), (653360.1, 6857947.0), (653506.9, 6857661.1), (653509.48, 6857656.09), (653514.32, 6857652.82), (653423.64, 6857610.68), (653374.6, 6857587.9), (653327.0, 6857564.6), (653313.8, 6857558.1), (653294.8, 6857548.9), (653195.71, 6857535.45), (653109.2, 6857523.7), (653033.2, 6857523.2), (653033.64, 6857528.2), (653033.0, 6857532.1), (653005.45, 6857664.0), (652972.0, 6857836.0), (652969.0, 6857852.0), (652994.0, 6857853.0), (653027.0, 6857857.0), (653092.0, 6857864.9), (653157.0, 6857882.0)]","POLYGON ((653157 6857882, 653160 6857883, 653257.9 6857922, 653352 6857969, 653360.1 6857947, 653506.9 6857661.1, 653509.48 6857656.09, 653514.32 6857652.82, 653423.64 6857610.68, 653374.6 6857587.9, 653327 6857564.6, 653313.8 6857558.1, 653294.8 6857548.9, 653195.71 6857535.45, 653109.2 6857523.7, 653033.2 6857523.2, 653033.64 6857528.2, 653033 6857532.1, 653005.45 6857664, 652972 6857836, 652969 6857852, 652994 6857853, 653027 6857857, 653092 6857864.9, 653157 6857882))",0.8891797074956872,2,0.7654320483104287
751135023,75113,Paris 13e Arrondissement,5023,Gare 23,H,"[(653483.0, 6859221.0), (653412.0, 6859295.0), (653377.0, 6859334.0), (653294.0, 6859431.1), (653289.0, 6859437.1), (653285.0, 6859446.0), (653282.0, 6859453.0), (653307.0, 6859466.0), (653383.0, 6859503.0), (653398.0, 6859490.1), (653445.9, 6859444.1), (653581.9, 6859311.0), (653530.0, 6859264.9), (653483.0, 6859221.0)]","POLYGON ((653483 6859221, 653412 6859295, 653377 6859334, 653294 6859431.1, 653289 6859437.1, 653285 6859446, 653282 6859453, 653307 6859466, 653383 6859503, 653398 6859490.1, 653445.9 6859444.1, 653581.9 6859311, 653530 6859264.9, 653483 6859221))",0.6088517156935433,2,0.7654320483104287
751135001,75113,Paris 13e Arrondissement,5001,Gare 1,H,"[(654132.05, 6857941.62), (654169.09, 6857965.06), (654170.0, 6857976.0), (654169.0, 6858006.1), (654168.0, 6858018.0), (654165.0, 6858031.1), (654164.0, 6858034.1), (654104.0, 6858180.0), (653921.0, 6858112.0), (653965.0, 6858261.0), (654052.0, 6858310.1), (654158.0, 6858365.1), (654214.0, 6858393.0), (654246.0, 6858407.0), (654259.0, 6858397.0), (654288.0, 6858338.0), (654394.0, 6858109.0), (654403.66, 6858079.24), (654426.2, 6858084.7), (654336.36, 6858040.78), (654313.7, 6858029.7), (654223.79, 6857985.92), (654222.1, 6857985.1), (654132.05, 6857941.62)]","POLYGON ((654132.05 6857941.62, 654169.09 6857965.06, 654170 6857976, 654169 6858006.1, 654168 6858018, 654165 6858031.1, 654164 6858034.1, 654104 6858180, 653921 6858112, 653965 6858261, 654052 6858310.1, 654158 6858365.1, 654214 6858393, 654246 6858407, 654259 6858397, 654288 6858338, 654394 6858109, 654403.66 6858079.24, 654426.2 6858084.7, 654336.36 6858040.78, 654313.7 6858029.7, 654223.79 6857985.92, 654222.1 6857985.1, 654132.05 6857941.62))",0.7840181760733641,2,0.7654320483104287
751135026,75113,Paris 13e Arrondissement,5026,Gare 26,H,"[(653491.0, 6858738.0), (653489.0, 6858744.0), (653465.0, 6858804.0), (653423.0, 6858913.0), (653411.0, 6858945.0), (653429.0, 6858951.0), (653517.0, 6858907.1), (653585.0, 6858873.1), (653705.1, 6858840.0), (653799.0, 6858820.0), (653856.0, 6858808.0), (653813.0, 6858799.0), (653779.0, 6858792.0), (653685.0, 6858774.0), (653642.0, 6858767.0), (653538.0, 6858749.0), (653501.0, 6858741.0), (653491.0, 6858738.0)]","POLYGON ((653491 6858738, 653489 6858744, 653465 6858804, 653423 6858913, 653411 6858945, 653429 6858951, 653517 6858907.1, 653585 6858873.1, 653705.1 6858840, 653799 6858820, 653856 6858808, 653813 6858799, 653779 6858792, 653685 6858774, 653642 6858767, 653538 6858749, 653501 6858741, 653491 6858738))",0.8315122571570804,2,0.7654320483104287
751135107,75113,Paris 13e Arrondissement,5107,Maison Blanche 7,H,"[(652969.0, 6857852.0), (652945.0, 6857852.0), (652934.0, 6857853.0), (652893.0, 6857859.0), (652871.0, 6857868.0), (652838.1, 6857882.0), (652748.0, 6857982.9), (652735.0, 6857995.0), (652736.0, 6858033.0), (652749.0, 6858149.1), (652803.0, 6858201.0), (652901.0, 6858209.0), (652916.9, 6858131.0), (652925.5, 6858086.4), (652967.0, 6857864.9), (652969.0, 6857852.0)]","POLYGON ((652969 6857852, 652945 6857852, 652934 6857853, 652893 6857859, 652871 6857868, 652838.1 6857882, 652748 6857982.9, 652735 6857995, 652736 6858033, 652749 6858149.1, 652803 6858201, 652901 6858209, 652916.9 6858131, 652925.5 6858086.4, 652967 6857864.9, 652969 6857852))",0.6632557862128807,2,0.7654320483104287
751135031,75113,Paris 13e Arrondissement,5031,Gare 31,H,"[(653291.0, 6859248.9), (653270.9, 6859269.0), (653180.1, 6859373.0), (653174.1, 6859380.0), (653168.0, 6859389.0), (653165.0, 6859395.0), (653282.0, 6859453.0), (653285.0, 6859446.0), (653289.0, 6859437.1), (653294.0, 6859431.1), (653377.0, 6859334.0), (653412.0, 6859295.0), (653483.0, 6859221.0), (653467.0, 6859132.0), (653371.1, 6859184.0), (653319.1, 6859226.0), (653291.0, 6859248.9)]","POLYGON ((653291 6859248.9, 653270.9 6859269, 653180.1 6859373, 653174.1 6859380, 653168 6859389, 653165 6859395, 653282 6859453, 653285 6859446, 653289 6859437.1, 653294 6859431.1, 653377 6859334, 653412 6859295, 653483 6859221, 653467 6859132, 653371.1 6859184, 653319.1 6859226, 653291 6859248.9))",0.8319248991477252,2,0.7654320483104287
751135030,75113,Paris 13e Arrondissement,5030,Gare 30,H,"[(653415.0, 6858989.0), (653396.0, 6858984.0), (653339.0, 6859134.1), (653309.0, 6859195.1), (653300.0, 6859215.9), (653291.0, 6859248.9), (653319.1, 6859226.0), (653371.1, 6859184.0), (653467.0, 6859132.0), (653483.0, 6859221.0), (653557.0, 6859130.0), (653573.0, 6859111.0), (653586.0, 6859095.0), (653579.0, 6859087.0), (653567.0, 6859075.0), (653556.0, 6859067.0), (653416.0, 6858993.0), (653415.0, 6858989.0)]","POLYGON ((653415 6858989, 653396 6858984, 653339 6859134.1, 653309 6859195.1, 653300 6859215.9, 653291 6859248.9, 653319.1 6859226, 653371.1 6859184, 653467 6859132, 653483 6859221, 653557 6859130, 653573 6859111, 653586 6859095, 653579 6859087, 653567 6859075, 653556 6859067, 653416 6858993, 653415 6858989))",0.7502175197840079,2,0.7654320483104287
751135108,75113,Paris 13e Arrondissement,5108,Maison Blanche 8,H,"[(652465.0, 6858082.0), (652570.0, 6858083.0), (652593.0, 6858083.0), (652636.0, 6858069.0), (652663.0, 6858054.0), (652680.9, 6858044.0), (652735.0, 6857995.0), (652748.0, 6857982.9), (652838.1, 6857882.0), (652871.0, 6857868.0), (652893.0, 6857859.0), (652934.0, 6857853.0), (652945.0, 6857852.0), (652969.0, 6857852.0), (652972.0, 6857836.0), (653005.45, 6857664.0), (653033.0, 6857532.1), (653033.64, 6857528.2), (653033.2, 6857523.2), (652933.25, 6857520.06), (652890.1, 6857518.7), (652818.7, 6857516.4), (652776.7, 6857515.0), (652751.0, 6857513.9), (652745.1, 6857513.4), (652735.1, 6857513.8), (652635.12, 6857515.77), (652535.14, 6857517.74), (652435.16, 6857519.71), (652335.18, 6857521.68), (652235.2, 6857523.65), (652135.22, 6857525.62), (652035.24, 6857527.59), (651973.7, 6857528.8), (651876.5, 6857505.29), (651832.3, 6857494.6), (651822.5, 6857500.1), (651830.7, 6857540.8), (651841.01, 6857640.27), (651851.32, 6857739.73), (651861.63, 6857839.2), (651863.3, 6857855.3), (651863.9, 6857925.3), (651874.6, 6857903.6), (651881.0, 6857906.0), (652330.0, 6858073.0), (652354.0, 6858080.1), (652465.0, 6858082.0)]","POLYGON ((652465 6858082, 652570 6858083, 652593 6858083, 652636 6858069, 652663 6858054, 652680.9 6858044, 652735 6857995, 652748 6857982.9, 652838.1 6857882, 652871 6857868, 652893 6857859, 652934 6857853, 652945 6857852, 652969 6857852, 652972 6857836, 653005.45 6857664, 653033 6857532.1, 653033.64 6857528.2, 653033.2 6857523.2, 652933.25 6857520.06, 652890.1 6857518.7, 652818.7 6857516.4, 652776.7 6857515, 652751 6857513.9, 652745.1 6857513.4, 652735.1 6857513.8, 652635.12 6857515.77, 652535.14 6857517.74, 652435.16 6857519.71, 652335.18 6857521.68, 652235.2 6857523.65, 652135.22 6857525.62, 652035.24 6857527.59, 651973.7 6857528.8, 651876.5 6857505.29, 651832.3 6857494.6, 651822.5 6857500.1, 651830.7 6857540.8, 651841.01 6857640.27, 651851.32 6857739.73, 651861.63 6857839.2, 651863.3 6857855.3, 651863.9 6857925.3, 651874.6 6857903.6, 651881 6857906, 652330 6858073, 652354 6858080.1, 652465 6858082))",0.8734311544403647,2,0.7654320483104287
751135002,75113,Paris 13e Arrondissement,5002,Gare 2,H,"[(654132.05, 6857941.62), (654079.2, 6857916.1), (653988.58, 6857873.8), (653897.97, 6857831.51), (653807.35, 6857789.21), (653716.74, 6857746.92), (653695.7, 6857737.1), (653605.01, 6857694.96), (653514.32, 6857652.82), (653509.48, 6857656.09), (653506.9, 6857661.1), (653360.1, 6857947.0), (653352.0, 6857969.0), (653450.0, 6858010.0), (653498.0, 6858035.0), (653536.0, 6858055.0), (653644.0, 6858111.0), (653663.0, 6858121.0), (653681.0, 6858131.0), (653697.0, 6858139.0), (653829.0, 6858204.0), (653860.0, 6858217.0), (653965.0, 6858261.0), (653921.0, 6858112.0), (654104.0, 6858180.0), (654164.0, 6858034.1), (654165.0, 6858031.1), (654168.0, 6858018.0), (654169.0, 6858006.1), (654170.0, 6857976.0), (654169.09, 6857965.06), (654132.05, 6857941.62)]","POLYGON ((654132.05 6857941.62, 654079.2 6857916.1, 653988.58 6857873.8, 653897.97 6857831.51, 653807.35 6857789.21, 653716.74 6857746.92, 653695.7 6857737.1, 653605.01 6857694.96, 653514.32 6857652.82, 653509.48 6857656.09, 653506.9 6857661.1, 653360.1 6857947, 653352 6857969, 653450 6858010, 653498 6858035, 653536 6858055, 653644 6858111, 653663 6858121, 653681 6858131, 653697 6858139, 653829 6858204, 653860 6858217, 653965 6858261, 653921 6858112, 654104 6858180, 654164 6858034.1, 654165 6858031.1, 654168 6858018, 654169 6858006.1, 654170 6857976, 654169.09 6857965.06, 654132.05 6857941.62))",0.905224094830682,2,0.7654320483104287
751135109,75113,Paris 13e Arrondissement,5109,Maison Blanche 9,H,"[(652492.9, 6858397.0), (652502.0, 6858411.9), (652541.1, 6858485.0), (652569.0, 6858561.0), (652561.0, 6858591.0), (652547.0, 6858631.9), (652606.0, 6858639.0), (652664.0, 6858640.0), (652671.0, 6858505.0), (652669.0, 6858200.0), (652667.0, 6858162.0), (652665.5, 6858123.45), (652664.0, 6858084.0), (652663.0, 6858054.0), (652636.0, 6858069.0), (652593.0, 6858083.0), (652570.0, 6858083.0), (652465.0, 6858082.0), (652465.0, 6858100.0), (652464.0, 6858118.0), (652462.0, 6858143.9), (652475.0, 6858205.0), (652494.0, 6858284.0), (652515.0, 6858372.0), (652500.0, 6858379.0), (652492.9, 6858397.0)]","POLYGON ((652492.9 6858397, 652502 6858411.9, 652541.1 6858485, 652569 6858561, 652561 6858591, 652547 6858631.9, 652606 6858639, 652664 6858640, 652671 6858505, 652669 6858200, 652667 6858162, 652665.5 6858123.45, 652664 6858084, 652663 6858054, 652636 6858069, 652593 6858083, 652570 6858083, 652465 6858082, 652465 6858100, 652464 6858118, 652462 6858143.9, 652475 6858205, 652494 6858284, 652515 6858372, 652500 6858379, 652492.9 6858397))",0.563980691348184,2,0.7654320483104287
