IRIS,Social_Housing,kmeans_class
751010101,0.2903782292335411,2
751010102,0.0,0
751010103,0.0459883870762124,0
751010104,0.0,0
751010105,0.0,0
751010199,0.0,0
751010201,0.0600217789932432,0
751010202,0.0092784662731818,0
751010203,0.1224529711393066,0
751010204,0.2023055041491539,2
751010205,0.0,0
751010206,0.0,0
751010301,0.0118919777960177,0
751010302,0.0440421681632678,0
751010303,0.0,0
751010401,0.0,0
751010402,0.009605844216954,0
751020501,0.1496034265340225,0
751020502,0.0177515004478377,0
751020503,0.0,0
751020601,0.0079218711097061,0
751020602,0.0034748383392827,0
751020701,0.0034605417849235,0
751020702,0.009254246645271,0
751020703,0.0470228068258205,0
751020704,0.0511920163623552,0
751020801,0.0121168196839052,0
751020802,0.0194461896519256,0
751020803,0.0153837547565238,0
751020804,0.0,0
751020805,0.0214210822229921,0
751030901,0.0137485249816464,0
751030902,0.0024094431335873,0
751030903,0.0434270967833091,0
751030904,0.0669158899686677,0
751030905,0.1514540998257584,0
751031001,0.0092623613760582,0
751031002,0.0505745280544035,0
751031003,0.0411847523061023,0
751031004,0.0,0
751031101,0.0684250316721738,0
751031102,0.0275585540003995,0
751031103,0.0456833936088429,0
751031104,0.0115433399223944,0
751031201,0.0108031774997045,0
751031202,0.0796313407793583,0
751031203,0.3382972026916626,2
751031204,0.0373507573006746,0
751041301,0.112119234241171,0
751041302,0.0214164954138903,0
751041303,0.172968694204581,0
751041304,0.0,0
751041305,0.0,0
751041399,0.0,0
751041401,0.4123362144940354,2
751041402,0.0495801868302603,0
751041403,0.0097014246637843,0
751041404,0.0088559574134805,0
751041499,0.0,0
751041501,0.0845261901733652,0
751041502,0.0,0
751041503,0.0073242765758077,0
751041504,0.0,0
751041588,0.0,0
751041599,0.0,0
751041601,0.0057184363844774,0
751041602,0.0,0
751041603,0.0,0
751041699,0.0,0
751051701,0.0022600822605615,0
751051702,0.0,0
751051703,0.0612520000550562,0
751051704,0.0400677157607177,0
751051705,0.1403568859329526,0
751051706,0.0,0
751051799,0.0,0
751051801,0.0044302177239057,0
751051802,0.0096940907018887,0
751051803,0.0361913529941489,0
751051804,0.2785317995975802,2
751051805,0.2591755311928846,2
751051806,0.261999326295034,2
751051807,0.0813815223379823,0
751051808,0.0,0
751051809,0.0,0
751051899,0.0,0
751051901,0.0018509349017425,0
751051902,0.0648616373262548,0
751051903,0.175278989048165,0
751051904,0.0094457955018586,0
751051905,0.0495501274043433,0
751051906,0.0097764034314055,0
751051907,0.0870712060043412,0
751051908,0.0125884255334971,0
751052001,0.0597926755722785,0
751052002,0.0,0
751052003,0.0072450528162094,0
751052004,0.1025712230749159,0
751052005,0.0,0
751052099,0.0,0
751062101,0.0074540927878865,0
751062102,0.033377209456105,0
751062103,0.0145414825656997,0
751062199,0.0,0
751062201,0.0,0
751062202,0.0012766679619835,0
751062203,0.0096862230018452,0
751062204,0.0,0
751062205,0.0,0
751062301,0.0,0
751062302,0.0043328970961224,0
751062303,0.0,0
751062304,0.0,0
751062305,0.0,0
751062306,0.0,0
