IRIS,LIBIRIS,COM,LIBCOM,DISP_TP6014,DISP_Q114,DISP_MED14,DISP_Q314,DISP_EQ14,DISP_D114,DISP_D214,DISP_D314,DISP_D414,DISP_D614,DISP_D714,DISP_D814,DISP_D914,DISP_RD14,DISP_S80S2014,DISP_GI14,DISP_PTSAC14,DISP_PBEN14,DISP_PPEN14,DISP_PPAT14,DISP_PPSOC14,DISP_PPFAM14,DISP_PPMINI14,DISP_PPLOGT14,DISP_PIMPOT14,note
010040101,Les Perouses-Triangle d'Activite,01004,Ambérieu-en-Bugey,21.97635647165808,12736.5,18213.33333333333,24129.0,0.6255032942898977,9701.5,11962.258064516129,13967.083333333334,16132.0,20471.33333333333,23040.869565217392,25761.90476190476,29940.0,3.0861207029840747,3.489188894178983,0.2448577811,66.2,1.9,29.4,8.4,8.1,3.1,2.8,2.2,-14.0,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,23.78775284012192,12383.448275862069,16777.777777777777,22245.714285714286,0.5878171793951653,9577.894736842103,11604.0,13398.571428571428,15045.0,18738.0,21032.222222222223,23777.0,28590.0,2.984998351467195,3.5073443180080472,0.2473616475,65.9,1.6,27.5,7.9,10.1,3.5,3.3,3.3,-13.0,0
010040201,Centre-St Germain-Vareilles,01004,Ambérieu-en-Bugey,15.906417461769705,13842.0,19140.666666666668,24640.434782608696,0.564161895228764,10518.0,12862.380952380952,14997.5,16797.916666666668,21025.555555555555,23357.0,26452.0,31531.33333333333,2.997844964188375,3.654613709196027,0.2554645523,67.3,4.0,27.8,9.3,6.9,2.9,1.9,2.1,-15.3,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,7.046869878728286,17978.4,23382.17391304348,30247.61904761905,0.524725335345094,13522.0,16584.0,18986.11111111111,21062.0,25620.384615384613,28624.5,31976.11111111111,38243.0,2.8282058867031505,3.5364969868607994,0.2510291863,70.0,5.6,26.2,12.6,3.7,2.2,0.7,0.8,-18.1,0
010330101,Coupy-Vanchy,01033,Bellegarde-sur-Valserine,19.644238205723124,13547.692307692309,19947.391304347828,29562.777777777777,0.8028661605788394,9425.2,12504.0,14762.0,17254.0,23447.5,27196.0,33420.666666666664,44688.0,4.741331748928404,5.4492432309500725,0.3283189687,76.0,1.6,23.8,6.8,4.7,1.9,1.6,1.3,-12.9,0
010330102,Centre Ville,01033,Bellegarde-sur-Valserine,20.25900301578854,13570.0,18644.615384615383,26278.571428571428,0.6816215387879717,9583.404255319148,12134.4,14554.285714285714,16535.333333333332,21518.666666666668,24378.0,28566.85714285714,37189.04761904762,3.8805675549381426,4.87544356319825,0.3057562108,69.9,3.0,26.5,8.0,5.8,1.9,1.9,2.0,-13.2,0
010330201,Arc Vouvray-Gare-Chatillon,01033,Bellegarde-sur-Valserine,13.950406965739164,15747.714285714286,22123.0,31938.666666666668,0.7318606147878851,10600.0,14148.846153846154,16918.0,19556.0,24945.6,29141.6,34951.42857142857,45174.8,4.261773584905661,5.252669246088615,0.3175528625,73.3,4.7,25.6,7.4,3.8,1.6,1.1,1.1,-14.8,0
010330202,Plateau de Musinens,01033,Bellegarde-sur-Valserine,21.546546546546548,12972.0,17192.678571428572,24618.846153846152,0.6774305763618074,9394.5,11733.0,14076.25,15298.0,19656.666666666668,22874.761904761905,26824.761904761905,34866.666666666664,3.711391416963826,4.432538364752405,0.2957995337,68.8,1.4,28.1,5.8,8.5,3.4,2.6,2.5,-12.6,0
010330301,Arlod,01033,Bellegarde-sur-Valserine,16.84062059238364,14118.0,18957.0,26717.0,0.6646093791211689,10330.285714285714,12942.416666666668,15067.916666666668,16972.666666666668,21614.666666666668,24293.333333333336,29734.0,36090.0,3.4936110189180223,4.193851785366295,0.2824422377,78.4,1.0,20.1,6.6,5.9,3.2,1.3,1.4,-12.0,0
010530101,Centre-Ville,01053,Bourg-en-Bresse,18.25520024837007,13606.25,18338.888888888887,24990.0,0.6207437140260528,9197.0,12586.0,14443.2,16190.0,20590.0,23231.153846153844,28395.555555555555,36316.66666666666,3.948751404443477,5.018166038526476,0.3151502308,67.8,5.6,22.6,13.5,7.4,2.0,2.6,2.8,-16.9,0
010530102,Champ-de-Foire,01053,Bourg-en-Bresse,15.338541666666666,14751.916666666668,19219.0,26595.333333333336,0.6162348023657146,10274.5,13251.94871794872,15589.23076923077,17405.0,21862.0,24806.0,28889.0,36655.0,3.567570198063166,4.277309279088413,0.2839779294,53.6,3.8,42.4,12.1,5.5,1.2,2.3,2.0,-17.4,0
010530103,Prefecture,01053,Bourg-en-Bresse,15.293761356753482,14933.0,20538.0,30607.33333333333,0.7631869380335635,10487.0,13305.333333333334,16126.0,18182.0,23625.33333333333,28020.0,33679.333333333336,47254.0,4.505959759702489,5.679205725575083,0.34704902,63.5,9.9,29.9,13.1,5.1,1.5,1.9,1.8,-21.5,0
010530201,Citadelle,01053,Bourg-en-Bresse,16.08816822903471,14324.166666666668,18994.0,25543.5,0.5906777578884559,10249.565217391306,13273.0,15315.357142857143,17406.08695652174,21091.0,23718.125,27552.0,34557.93103448276,3.371648484742103,4.1251060305960685,0.2731905346,63.5,2.7,35.0,8.6,6.4,2.0,2.3,2.1,-16.2,0
010530202,Mail,01053,Bourg-en-Bresse,27.072758037225043,11890.0,16308.214285714286,21915.0,0.614720889998467,8541.25,10779.0,12743.0,14581.666666666668,17895.2,20308.0,23620.0,28979.6,3.3928991658129664,4.089956478686236,0.2754246832,66.4,3.0,26.5,6.5,10.9,3.4,4.0,3.4,-13.3,0
010530203,Peloux,01053,Bourg-en-Bresse,16.143264988320787,13921.0,19428.92857142857,26180.0,0.6309663425304682,10738.461538461535,12987.311827956988,14821.25,16664.615384615383,21605.33333333333,24291.0,27827.0,32623.33333333333,3.0379894937917866,3.656205077917133,0.2563405678,65.6,2.3,32.5,8.1,7.1,2.6,2.3,2.2,-15.6,0
